,file_name,best_score,pass_epoch,layer,mem_size,update_every,learn_every,learning_rate,eps_decay,double_qnet,delayer
69,qnet_Banana_scores_and_pars_test_7.p,15.96,500,"[64, 64]",20000,2,16,0.0005,0.99,False,True
63,qnet_Banana_scores_and_pars_test_64.p,15.14,400,"[128, 64]",20000,2,4,0.0005,0.99,True,True
52,qnet_Banana_scores_and_pars_test_53.p,14.86,700,"[64, 64]",5000,2,8,0.001,0.995,False,True
32,qnet_Banana_scores_and_pars_test_34.p,14.82,400,"[32, 32, 32]",20000,5,4,0.001,0.99,True,True
19,qnet_Banana_scores_and_pars_test_28.p,14.82,600,"[128, 64]",20000,1,4,0.0002,0.99,True,False
29,qnet_Banana_scores_and_pars_test_72.p,14.68,400,"[64, 64]",20000,5,4,0.0005,0.99,False,True
79,qnet_Banana_scores_and_pars_test_8.p,14.53,500,"[64, 64]",20000,1,4,0.0002,0.99,True,False
56,qnet_Banana_scores_and_pars_test_58.p,14.38,500,"[32, 32]",5000,2,4,0.001,0.99,True,True
94,qnet_Banana_scores_and_pars_test_94.p,14.33,600,"[32, 32, 32]",20000,5,2,0.0002,0.995,False,False
40,qnet_Banana_scores_and_pars_test_41.p,14.3,400,"[32, 32, 32]",20000,5,16,0.001,0.99,False,True
77,qnet_Banana_scores_and_pars_test_78.p,14.21,700,"[32, 32]",5000,5,16,0.001,0.995,True,True
70,qnet_Banana_scores_and_pars_test_70.p,14.03,700,"[64, 64]",20000,1,16,0.0005,0.995,False,False
31,qnet_Banana_scores_and_pars_test_33.p,13.87,600,"[32, 32, 32]",5000,2,4,0.0002,0.995,True,True
26,qnet_Banana_scores_and_pars_test_32.p,13.51,700,"[64, 64]",5000,2,4,0.0002,0.995,False,True
46,qnet_Banana_scores_and_pars_test_48.p,13.46,700,"[32, 32]",5000,10,2,0.0002,0.995,False,True
25,qnet_Banana_scores_and_pars_test_20.p,13.35,700,"[32, 32, 32]",5000,10,8,0.0005,0.995,False,True
84,qnet_Banana_scores_and_pars_test_85.p,13.12,700,"[32, 32]",20000,5,1,0.001,0.99,False,False
10,qnet_Banana_scores_and_pars_test_19.p,13.07,700,"[256, 128]",5000,5,4,0.0002,0.99,True,False
11,qnet_Banana_scores_and_pars_test_2.p,12.94,10000000,"[32, 32, 32]",20000,5,16,0.0002,0.995,True,True
91,qnet_Banana_scores_and_pars_test_91.p,12.8,10000000,"[32, 32]",20000,10,1,0.001,0.995,True,False
35,qnet_Banana_scores_and_pars_test_37.p,12.73,10000000,"[32, 32]",20000,2,1,0.001,0.995,True,True
51,qnet_Banana_scores_and_pars_test_52.p,12.62,10000000,"[64, 64]",200,2,8,0.0005,0.99,True,False
78,qnet_Banana_scores_and_pars_test_79.p,12.36,10000000,"[64, 64]",20000,10,4,0.001,0.997,True,True
15,qnet_Banana_scores_and_pars_test_24.p,12.19,10000000,"[32, 32, 32]",1000,2,16,0.0005,0.995,True,False
50,qnet_Banana_scores_and_pars_test_51.p,12.16,10000000,"[32, 32, 32]",5000,5,2,0.0005,0.995,False,False
68,qnet_Banana_scores_and_pars_test_69.p,12.06,10000000,"[128, 64]",20000,1,4,0.0002,0.997,False,False
65,qnet_Banana_scores_and_pars_test_66.p,11.96,10000000,"[64, 64]",20000,10,8,0.001,0.997,True,True
88,qnet_Banana_scores_and_pars_test_89.p,11.96,10000000,"[256, 128]",20000,5,2,0.0002,0.995,False,False
14,qnet_Banana_scores_and_pars_test_23.p,11.93,10000000,"[32, 32]",5000,2,16,0.001,0.997,False,False
99,qnet_Banana_scores_and_pars_test_99.p,11.77,10000000,"[256, 128]",20000,10,2,0.0002,0.995,False,False
30,qnet_Banana_scores_and_pars_test_84.p,11.67,10000000,"[32, 32]",1000,2,4,0.0005,0.995,False,True
6,qnet_Banana_scores_and_pars_test_15.p,11.63,10000000,"[32, 32, 32]",5000,5,2,0.0002,0.997,False,False
66,qnet_Banana_scores_and_pars_test_67.p,11.42,10000000,"[32, 32, 32]",20000,10,2,0.001,0.997,False,True
93,qnet_Banana_scores_and_pars_test_93.p,11.39,10000000,"[32, 32]",1000,2,8,0.001,0.995,False,True
90,qnet_Banana_scores_and_pars_test_90.p,11.32,10000000,"[256, 128]",200,5,16,0.001,0.995,False,True
18,qnet_Banana_scores_and_pars_test_27.p,11.3,10000000,"[128, 64]",5000,2,2,0.001,0.995,True,False
97,qnet_Banana_scores_and_pars_test_97.p,11.27,10000000,"[32, 32]",20000,5,8,0.001,0.997,True,False
95,qnet_Banana_scores_and_pars_test_95.p,11.22,10000000,"[32, 32]",5000,2,4,0.0005,0.997,True,False
72,qnet_Banana_scores_and_pars_test_73.p,11.08,10000000,"[64, 64]",1000,2,4,0.0005,0.995,False,False
3,qnet_Banana_scores_and_pars_test_12.p,11.06,10000000,"[64, 64]",5000,2,4,0.0005,0.997,False,False
55,qnet_Banana_scores_and_pars_test_57.p,10.99,10000000,"[64, 64]",20000,2,8,0.0002,0.99,True,True
39,qnet_Banana_scores_and_pars_test_40.p,10.86,10000000,"[32, 32, 32]",1000,10,8,0.001,0.995,False,True
34,qnet_Banana_scores_and_pars_test_36.p,10.85,10000000,"[32, 32, 32]",5000,1,2,0.0005,0.997,True,False
54,qnet_Banana_scores_and_pars_test_55.p,10.84,10000000,"[64, 64]",5000,10,4,0.0005,0.997,True,True
49,qnet_Banana_scores_and_pars_test_50.p,10.81,10000000,"[32, 32]",20000,10,1,0.001,0.997,False,False
0,qnet_Banana_scores_and_pars_test_1.p,10.76,10000000,"[32, 32, 32]",5000,2,4,0.001,0.997,True,True
92,qnet_Banana_scores_and_pars_test_92.p,10.71,10000000,"[128, 64]",1000,5,2,0.0002,0.995,True,True
45,qnet_Banana_scores_and_pars_test_47.p,10.62,10000000,"[64, 64]",200,1,8,0.001,0.995,False,True
71,qnet_Banana_scores_and_pars_test_71.p,10.58,10000000,"[64, 64]",20000,2,1,0.001,0.99,True,False
81,qnet_Banana_scores_and_pars_test_81.p,10.54,10000000,"[32, 32]",1000,5,1,0.0005,0.99,True,False
67,qnet_Banana_scores_and_pars_test_68.p,10.44,10000000,"[256, 128]",5000,2,4,0.0005,0.997,False,True
76,qnet_Banana_scores_and_pars_test_77.p,10.44,10000000,"[128, 64]",5000,1,1,0.0002,0.99,True,False
7,qnet_Banana_scores_and_pars_test_16.p,10.32,10000000,"[32, 32]",20000,10,4,0.001,0.997,False,True
53,qnet_Banana_scores_and_pars_test_54.p,10.25,10000000,"[256, 128]",20000,5,2,0.0002,0.997,True,True
33,qnet_Banana_scores_and_pars_test_35.p,10.19,10000000,"[128, 64]",200,5,16,0.001,0.997,False,True
64,qnet_Banana_scores_and_pars_test_65.p,10.12,10000000,"[128, 64]",5000,1,16,0.001,0.995,True,False
42,qnet_Banana_scores_and_pars_test_43.p,9.92,10000000,"[32, 32]",1000,10,16,0.0005,0.997,False,True
96,qnet_Banana_scores_and_pars_test_96.p,9.84,10000000,"[32, 32, 32]",200,10,8,0.0005,0.997,False,False
98,qnet_Banana_scores_and_pars_test_98.p,9.78,10000000,"[256, 128]",1000,1,8,0.0002,0.997,False,False
9,qnet_Banana_scores_and_pars_test_18.p,9.62,10000000,"[32, 32]",200,1,4,0.0005,0.995,False,True
83,qnet_Banana_scores_and_pars_test_83.p,9.57,10000000,"[32, 32]",20000,10,4,0.0005,0.997,True,True
24,qnet_Banana_scores_and_pars_test_0.p,9.33,10000000,"[32, 32]",1000,2,4,0.001,0.997,True,False
36,qnet_Banana_scores_and_pars_test_38.p,8.96,10000000,"[64, 64]",1000,5,4,0.0005,0.997,True,True
57,qnet_Banana_scores_and_pars_test_59.p,8.66,10000000,"[128, 64]",200,5,16,0.0002,0.997,False,False
2,qnet_Banana_scores_and_pars_test_11.p,8.64,10000000,"[128, 64]",200,2,8,0.0005,0.997,False,False
12,qnet_Banana_scores_and_pars_test_21.p,8.6,10000000,"[128, 64]",1000,1,2,0.0005,0.997,True,True
23,qnet_Banana_scores_and_pars_test_31.p,8.42,10000000,"[32, 32, 32]",200,1,16,0.0005,0.997,True,False
74,qnet_Banana_scores_and_pars_test_75.p,8.37,10000000,"[256, 128]",1000,1,8,0.0005,0.99,True,True
17,qnet_Banana_scores_and_pars_test_26.p,8.28,10000000,"[256, 128]",1000,1,2,0.0005,0.995,False,True
8,qnet_Banana_scores_and_pars_test_17.p,8.26,10000000,"[64, 64]",200,5,8,0.001,0.99,False,True
58,qnet_Banana_scores_and_pars_test_6.p,8.23,10000000,"[32, 32]",1000,10,4,0.0005,0.99,False,False
41,qnet_Banana_scores_and_pars_test_42.p,8.04,10000000,"[256, 128]",5000,5,8,0.001,0.997,True,False
22,qnet_Banana_scores_and_pars_test_30.p,7.93,10000000,"[256, 128]",1000,10,4,0.0002,0.997,True,True
89,qnet_Banana_scores_and_pars_test_9.p,7.58,10000000,"[128, 64]",1000,2,16,0.0005,0.99,True,True
5,qnet_Banana_scores_and_pars_test_14.p,7.53,10000000,"[256, 128]",1000,10,4,0.0002,0.997,False,True
85,qnet_Banana_scores_and_pars_test_86.p,6.93,10000000,"[32, 32]",20000,10,16,0.0002,0.99,True,False
16,qnet_Banana_scores_and_pars_test_25.p,6.75,10000000,"[256, 128]",200,10,16,0.001,0.995,True,True
1,qnet_Banana_scores_and_pars_test_10.p,6.65,10000000,"[32, 32, 32]",200,1,16,0.001,0.997,True,False
80,qnet_Banana_scores_and_pars_test_80.p,6.32,10000000,"[64, 64]",200,1,2,0.001,0.995,True,True
87,qnet_Banana_scores_and_pars_test_88.p,6.31,10000000,"[64, 64]",1000,2,1,0.001,0.995,False,False
28,qnet_Banana_scores_and_pars_test_56.p,6.15,10000000,"[32, 32]",1000,5,1,0.001,0.997,False,True
44,qnet_Banana_scores_and_pars_test_46.p,6.08,10000000,"[256, 128]",1000,5,1,0.0002,0.997,True,True
20,qnet_Banana_scores_and_pars_test_29.p,6.05,10000000,"[128, 64]",5000,5,8,0.001,0.997,True,False
62,qnet_Banana_scores_and_pars_test_63.p,5.86,10000000,"[32, 32, 32]",1000,2,1,0.001,0.995,True,True
27,qnet_Banana_scores_and_pars_test_44.p,5.85,10000000,"[64, 64]",1000,5,1,0.0005,0.99,False,False
43,qnet_Banana_scores_and_pars_test_45.p,5.33,10000000,"[32, 32]",200,2,1,0.001,0.995,False,True
13,qnet_Banana_scores_and_pars_test_22.p,4.81,10000000,"[32, 32, 32]",1000,10,1,0.0002,0.99,False,False
21,qnet_Banana_scores_and_pars_test_3.p,4.81,10000000,"[256, 128]",1000,10,2,0.0005,0.99,False,False
37,qnet_Banana_scores_and_pars_test_39.p,4.75,10000000,"[128, 64]",200,5,1,0.0005,0.997,False,True
61,qnet_Banana_scores_and_pars_test_62.p,4.57,10000000,"[256, 128]",5000,10,1,0.001,0.99,False,True
38,qnet_Banana_scores_and_pars_test_4.p,4.35,10000000,"[128, 64]",200,2,1,0.0002,0.997,False,True
59,qnet_Banana_scores_and_pars_test_60.p,4.09,10000000,"[128, 64]",200,1,1,0.0005,0.995,False,False
48,qnet_Banana_scores_and_pars_test_5.p,3.2,10000000,"[256, 128]",200,2,2,0.001,0.997,False,True
75,qnet_Banana_scores_and_pars_test_76.p,3.0,10000000,"[32, 32, 32]",200,1,16,0.0002,0.997,True,False
82,qnet_Banana_scores_and_pars_test_82.p,2.68,10000000,"[128, 64]",1000,5,16,0.0002,0.995,True,False
73,qnet_Banana_scores_and_pars_test_74.p,2.25,10000000,"[128, 64]",200,2,1,0.0002,0.997,True,False
47,qnet_Banana_scores_and_pars_test_49.p,2.0,10000000,"[32, 32, 32]",200,5,8,0.0002,0.99,True,False
4,qnet_Banana_scores_and_pars_test_13.p,1.05,10000000,"[256, 128]",20000,1,16,0.0002,0.997,True,True
60,qnet_Banana_scores_and_pars_test_61.p,0.59,10000000,"[32, 32, 32]",1000,10,8,0.001,0.995,True,False
86,qnet_Banana_scores_and_pars_test_87.p,0.14,10000000,"[32, 32, 32]",1000,10,1,0.001,0.995,True,True
